2	2
3	6
4	24
5	120
6	72
7	504
8	4032
9	36288
10	362880
11	399168
12	4790016
13	10270208
14	3782912
15	11743680
16	2789888
17	13428096
18	7705728
19	13408832
20	8176640
21	17170944
22	3760768
23	17497664
24	11943936
25	23598400
26	6135584
27	3660768
28	18501504
29	14543616
30	16308480
31	19556288
32	17801216
33	26440128
34	14964352
35	33752320
36	13508352
37	18809024
38	30742912
39	28973568
40	38942720
41	36665152
42	27936384
43	40264512
44	11638528
45	28733760
46	40175296
47	8238912
48	11467776
49	22921024
50	46051200
51	23486112
52	25277824
53	14724672
54	39132288
55	7275840
56	40744704
57	42448128
58	25991424
59	58494016
60	29640960
61	58809856
62	50211072
63	13297536
64	19042304
65	2749760
66	18148416
67	9943872
68	64183296
69	12647424
70	45319680
71	37769728
72	55420416
73	30690368
74	51087232
75	6542400
76	4972224
77	74861248
78	67177344
79	14010176
80	814080
81	6594048
82	48711936
83	59090688
84	7617792
85	52512320
86	21605952
87	52717824
88	63168512
89	14997568
90	89781120
91	89008192
92	753664
93	70090752
94	8530688
95	50415360
96	3987456
97	95783232
98	76756736
99	74916864
100	91686400
101	92603264
102	61532928
103	54891584
104	92724736
105	76097280
106	64631168
107	67534976
108	57777408
109	84737472
110	81121920
111	12453312
112	50770944
113	87116672
114	13300608
115	34569920
116	53011072
117	1295424
118	34860032
119	102343808
120	41256960
121	15209216
122	25524352
123	64495296
124	61416704
125	52088000
126	6563088
127	71512176
128	65558528
129	72050112
130	6514560
131	85340736
132	44977152
133	129961216
134	128802944
135	108397440
136	114205184
137	28110208
138	15208704
139	29009856
140	1379840
141	19455744
142	64715648
143	102337664
4
