1000
-195 10
-294 -488 8 493
-717 -871 86 3
-771 -319 7 519
393 -742 709 5
-642 287 888 3
-247 -145 4 407
708 -37 8 131
-593 653 7 510
-967 -407 3 512
13 -772 4 506
-891 533 2 56
-455 -285 2 217
974 -518 10 406
-712 -588 6 369
-12 807 848 1
409 924 736 5
-337 986 5 689
-38 935 32 1
882 -180 3 272
963 732 887 4
338 -176 159 5
-467 580 387 4
-437 -991 1 720
-151 -682 9 821
194 -769 5 565
126 -409 10 62
737 117 943 6
-824 -949 10 188
-1000 -880 4 609
-549 694 7 137
-625 588 469 1
-691 -374 1 137
277 -605 51 4
183 234 137 10
-781 434 93 6
299 617 819 8
-351 829 783 8
389 777 500 7
-324 -554 5 24
871 -946 654 7
825 -698 9 370
27 150 770 1
713 -750 801 7
337 993 8 63
-574 494 210 5
737 -218 1 97
-942 26 3 17
-746 -760 10 808
949 -533 340 1
-332 542 374 8
195 893 412 1
-540 -855 7 34
-838 227 8 129
242 -851 183 9
-974 -645 2 949
-569 598 131 4
-278 -646 7 504
-399 416 4 23
-316 673 207 4
186 858 4 286
473 987 545 4
-327 -835 400 4
484 751 343 5
-128 821 580 6
125 672 799 1
990 -600 882 7
92 191 266 1
55 378 741 7
-443 936 6 951
635 836 60 5
45 390 83 9
-566 -944 1 525
547 325 520 9
-212 -38 8 281
965 737 246 10
682 -968 577 4
444 166 555 10
48 -289 10 285
-955 389 520 8
-852 -851 9 226
194 930 10 948
-706 307 757 10
517 -784 75 6
-889 -923 3 217
-327 848 5 800
767 455 319 1
-911 -290 2 279
-272 -861 234 9
-534 332 119 10
669 -16 7 94
497 223 602 7
-727 -185 167 3
296 -347 2 66
740 -235 7 9
644 -281 13 2
773 865 480 4
-993 383 4 149
336 352 893 4
631 475 11 10
929 -111 193 9
-949 647 7 113
561 -718 10 820
966 -781 877 10
521 195 240 2
953 128 994 2
-693 699 8 465
850 -10 9 118
266 759 883 8
232 -501 7 531
806 593 181 3
-674 904 10 661
801 125 933 2
720 370 140 5
294 -805 503 6
-271 847 8 360
543 539 931 10
174 495 750 7
-22 -131 5 235
64 -266 1 88
-992 879 5 6
688 232 726 7
-636 -364 10 157
-398 -904 8 769
-558 -330 6 207
-992 -662 7 610
225 -878 2 857
-945 443 986 9
-761 -411 2 602
411 -680 6 386
796 -285 8 24
272 281 359 5
853 -631 6 599
878 109 545 7
-958 -290 1 508
439 -432 3 186
558 395 298 1
440 933 9 659
691 -706 702 5
-230 993 1 851
-639 -645 67 7
-843 -551 33 2
978 290 369 1
408 -723 76 5
-775 807 9 802
35 -979 301 4
-63 -469 3 11
20 -390 7 137
163 879 10 983
-449 170 1 61
-577 272 551 9
-96 928 7 244
520 -335 35 7
-924 -578 8 175
247 -789 10 896
-635 865 5 464
-924 710 5 275
-222 -963 541 8
72 -506 7 655
-786 -974 5 12
-85 994 8 942
-66 -934 2 70
-506 -398 7 493
-775 -650 1 821
-952 484 3 47
-357 641 169 3
938 465 467 4
-583 -388 68 9
-187 -570 2 517
425 -627 6 333
-906 757 5 659
-915 -933 6 204
-644 907 2 675
-803 907 6 695
-319 -683 4 54
-416 955 7 694
-660 -385 6 194
-999 885 5 103
318 911 731 5
-349 -726 4 256
-259 554 323 4
-393 -937 5 2
134 140 985 9
-737 999 10 662
-840 -430 2 638
985 273 390 7
-430 -550 2 736
-578 -126 2 20
660 206 764 6
-323 604 247 3
653 402 2 16
591 -333 8 269
800 -733 798 5
-792 -601 8 508
832 294 984 2
-497 524 366 4
-791 203 304 2
631 -649 8 568
386 -540 1 139
908 447 831 5
-578 38 21 9
339 -905 700 3
-326 61 9 63
-436 698 129 6
879 -504 8 63
560 -750 14 7
227 850 855 3
-721 -831 8 3
56 661 25 5
-360 113 9 127
276 -583 8 713
646 -929 929 2
82 419 455 9
65 629 664 7
787 -450 1 157
-524 -282 4 118
975 380 881 6
-202 469 703 6
-28 -688 9 395
113 -782 8 817
-790 494 10 504
941 -133 18 4
-745 861 3 731
-304 -412 4 228
-720 707 9 737
-150 362 5 75
-632 -980 9 75
-861 -805 7 645
-815 472 560 1
778 -829 449 6
-573 482 1 8
-121 939 3 77
77 -859 10 305
-882 930 5 803
-337 757 114 8
61 -644 1 273
-770 -635 2 231
380 530 10 59
264 703 572 7
-494 -423 10 513
737 220 433 2
-164 917 9 905
527 258 994 8
244 -830 325 3
2 -594 2 686
365 731 122 6
534 585 34 5
-562 608 10 480
722 826 324 3
-860 873 8 113
995 -625 779 6
-31 711 643 4
248 288 161 3
-821 499 9 130
-76 47 4 25
-465 -973 7 965
255 941 5 488
633 362 982 3
109 -813 2 850
93 795 853 4
533 -217 5 99
935 -800 471 2
911 -609 557 6
961 336 766 9
-36 -256 4 78
677 -727 8 675
935 948 821 7
640 -36 13 5
-496 727 4 260
-945 -721 9 459
64 927 9 473
987 -990 937 8
-16 -930 393 9
-314 -970 487 2
-895 -106 3 64
-244 -261 7 37
-101 -645 1 118
395 -402 1 183
138 -907 6 172
453 -433 41 6
-930 -458 4 317
11 976 2 346
633 433 49 7
344 388 236 5
215 934 4 16
-475 758 5 844
-417 479 611 6
956 513 240 10
617 -68 10 90
64 339 127 2
162 -615 1 101
991 684 628 9
-312 976 9 674
-68 874 7 74
76 946 5 982
583 974 24 5
-369 -862 9 826
606 296 3 2
215 -267 9 115
-265 651 603 2
316 -625 28 5
451 374 138 3
323 -879 872 1
-973 867 8 211
68 -713 2 834
92 -13 6 18
191 -811 2 190
694 216 985 3
-665 -801 3 62
826 508 136 3
739 563 167 1
-168 -176 6 345
-876 101 11 7
290 931 2 542
130 -62 2 152
937 992 111 2
201 -199 2 190
-757 800 6 854
802 310 510 8
951 -676 892 3
932 714 902 8
186 411 424 3
-454 465 864 3
186 -506 6 422
-836 537 3 454
219 -989 78 7
-28 -60 2 180
-404 -609 4 85
-615 -147 2 4
539 -982 447 7
-547 -787 2 81
423 942 2 754
987 -119 499 5
-386 -551 6 706
-412 -433 5 229
-4 -809 3 950
-650 -535 2 112
-850 -590 24 7
328 984 8 462
971 -407 1 190
431 117 18 2
466 -858 143 6
9 976 1 251
140 268 311 1
-214 -534 10 412
-676 -169 73 5
-946 113 2 48
-872 -686 4 319
73 246 666 9
-956 812 5 170
676 182 622 5
580 509 223 6
-533 679 109 4
-140 184 696 2
-857 607 2 38
-644 -173 15 2
894 702 428 5
-816 60 2 109
-393 787 8 240
-581 781 5 87
964 -7 3 82
-709 641 1 798
-624 -896 1 202
-915 628 2 295
698 -368 7 466
-732 -889 9 649
669 -616 7 115
466 -912 335 1
-460 456 686 3
-938 575 2 253
723 -645 7 296
547 722 86 10
202 814 540 3
510 235 75 8
923 136 165 2
667 426 917 5
-672 534 406 3
661 408 107 8
-936 843 3 26
970 -850 275 3
753 20 9 87
444 -10 8 46
549 -262 9 212
-570 404 1 10
-897 -930 1 485
-477 837 1 725
966 -937 342 3
376 -868 265 2
-59 -412 7 160
-117 98 67 8
-98 -785 9 666
321 -754 769 2
-270 770 409 8
593 996 996 10
374 770 574 3
-606 -531 2 12
194 506 4 8
-999 131 5 651
-259 886 4 701
152 782 107 2
194 -126 5 190
702 -690 1 251
