1000
-288 160
258 313 7 443
-300 998 187 9
-358 474 7 865
-411 358 2 310
947 -982 9 86
-425 -789 97 5
-12 -714 8 790
-548 -779 390 7
927 -614 383 7
-792 342 158 3
826 756 4 652
902 -551 1 961
150 -604 9 124
974 -72 7 810
-915 -890 373 7
-658 9 190 4
554 876 7 221
576 487 212 8
157 -41 709 6
723 914 3 963
-551 -958 874 3
285 -469 1 88
-634 -615 207 5
455 953 9 778
918 -431 453 3
689 736 6 60
935 -288 705 3
586 149 7 19
424 -560 167 1
-944 636 10 729
-626 297 167 5
-768 -380 7 269
-509 274 246 1
-195 -191 6 727
183 -761 59 9
-155 -931 3 184
311 629 3 97
941 -238 385 4
-412 930 8 660
453 -881 13 8
600 934 8 294
-154 334 8 656
275 311 6 681
-976 -781 4 90
-125 218 474 7
-749 949 5 374
32 77 342 8
997 190 4 324
400 -552 9 241
-968 -429 6 146
-154 -110 6 320
784 -755 427 10
122 -13 360 6
-179 -771 3 422
-883 -994 442 3
-121 -633 10 251
-151 286 3 42
-585 -791 41 9
566 -967 8 125
-107 725 5 945
544 54 3 282
-504 167 9 13
-927 931 2 567
-435 910 7 551
875 968 642 5
-669 -395 139 8
-607 833 3 86
384 416 3 623
367 -260 6 108
-663 -506 127 4
951 -110 529 2
-645 732 1 75
-731 -629 4 828
269 -631 519 6
-19 -763 5 385
516 -840 678 9
-95 -907 281 2
55 668 7 527
364 587 6 606
-948 597 4 1
-793 541 7 74
-2 -809 3 98
-629 -431 392 9
122 -211 103 1
-435 690 25 7
-870 -304 9 567
692 -521 79 9
704 917 5 141
879 777 288 6
-59 -279 3 466
-957 750 8 888
-373 558 9 563
-551 34 71 9
261 -449 5 399
-481 555 10 574
-898 605 8 900
-645 212 231 7
-906 -656 34 6
-940 -699 174 6
890 -680 747 6
-39 -470 1 408
-878 -975 658 5
-611 -858 64 10
1 936 2 853
-70 734 8 115
207 462 5 311
601 -734 244 3
602 -344 4 267
-664 259 5 45
682 515 20 9
766 -407 4 133
-228 -560 2 345
-803 695 3 882
438 -169 9 111
-922 819 10 332
-401 320 7 322
-209 -496 1 568
-713 -353 4 153
-244 -385 6 225
264 -777 716 6
-988 -794 5 754
-722 0 7 341
337 437 6 459
-347 -348 9 340
16 353 79 9
-798 -936 147 8
-612 139 7 24
849 465 7 128
-169 -292 10 39
-906 -403 79 5
-836 59 3 472
-985 496 5 943
787 580 3 697
565 174 6 527
137 462 9 89
609 779 2 969
-383 -1000 554 3
-844 91 2 598
-64 -209 4 81
483 -820 84 6
-449 372 5 456
471 250 1 66
248 -904 4 176
559 -635 3 1
-771 368 245 3
801 -631 3 218
-522 901 9 660
813 -720 6 234
489 611 6 305
-563 -42 144 7
-829 250 8 915
543 469 2 380
473 -25 369 1
502 -456 9 285
195 -985 143 9
119 627 9 870
414 783 7 4
-930 -817 696 5
640 -659 6 7
984 -254 94 9
467 915 2 26
975 -209 853 8
-187 274 493 6
864 771 5 308
18 -789 1 765
-57 973 3 706
945 -560 115 2
654 848 4 564
800 365 8 702
831 -630 5 202
601 -886 996 7
816 96 6 404
-741 611 5 642
485 20 8 62
325 309 2 568
135 777 3 900
-235 -385 3 795
232 536 2 400
661 -981 6 47
782 -566 1 374
-315 572 8 532
538 899 6 809
