10
ysjbrycgdrtqqwglvlpuqjdielbbxbedgmqamjfqhgptldauysaoqvkeywzrc 67 3
tuyemwhupuwztdewlpdgcxegfdvjbnppjmxxshchpfxcacuoguqfwemyzi 9 85
iiegbcjbptiectanftujhrogxqufzuuecuenrmwgeompvkwmxvf 3 7
xfybpnrlwfghtaydilzatrrpogppnavuukjcwltmufxnpfivuiddcvsbnjdwlyhmcdwjwmligjfbgejyslpwypwctafgsilukvn 69 49
rtohhxaevavudslnskdscfkpnfcsygkteltuuworkvg 90 67
mdnrmncsmkfpzhunscslzzduzuuqxafijevaznzgrgbmufxrtazkdkqcuufcykbjobc 85 15
bobpqnpfchzxdiqyrbuylvpqg 65 90
krarnkhgllawvjaclkyovvciclvabbanfdorvojtuippbjm 15 65
edpgfybxgfybqjgdyhevfqw 7 69
awgyswtljdpfewqzdoxahrnivxhkpcnwxbwmvlmaeotirbpcrrkiuypavkbjbeqgokooezbuymzbqkducyirbz 49 9
