2	0	0	-2	-1	56
2	0	1	-2	-1	56
2	0	2	-2	-1	56
2	0	3	-2	-1	56
2	0	4	-2	-1	56
2	0	5	-2	-1	56
2	0	6	-2	-1	56
2	0	7	-2	-1	56
2	0	8	-2	-1	56
2	0	9	-2	-1	56
1	1	9	-2	0	56
1	1	8	-2	1	56
1	0	9	-2	1	56
0	1	9	-2	2	56
1	1	7	-2	3	56
1	0	8	2	3	56
0	1	8	-2	5	56
0	0	9	-2	5	56
1	1	6	-2	6	56
1	0	7	3	6	56
0	1	7	-2	9	56
0	0	8	1	9	56
1	1	5	-2	10	56
1	0	6	4	10	56
0	1	6	-2	14	56
0	0	7	1	14	56
1	1	4	-2	15	56
1	0	5	5	15	56
0	1	5	-2	20	56
0	0	6	1	20	56
1	1	3	-2	21	56
1	0	4	6	21	56
0	1	4	-2	27	56
0	0	5	1	27	56
1	1	2	-2	28	56
1	0	3	7	28	56
0	1	3	-2	35	56
0	0	4	1	35	56
1	1	1	-2	36	56
1	0	2	8	36	56
0	1	2	-2	44	56
0	0	3	1	44	56
1	1	0	-2	45	56
1	0	1	9	45	56
0	1	1	-2	54	56
0	0	2	1	54	56
